id;country;points;price;province;taster_name;
80;Chile;86;12.0;Rapel Valley;Michael Schachner;
81;Spain;86;16.0;Galicia;Michael Schachner;
82;France;86;11.0;France Other;Roger Voss;
83;Australia;86;20.0;South Australia;Joe Czerwinski;
84;US;86;24.0;California;Virginie Boone;
85;Germany;86;10.0;Rheinhessen;Anna Lee C. Iijima;
86;US;86;20.0;Washington;Sean P. Sullivan;
87;US;86;55.0;California;Virginie Boone;
88;Italy;86;29.0;Tuscany;Kerin O’Keefe;
89;Italy;88;19.0;Tuscany;Kerin O’Keefe;
90;US;88;23.0;California;Virginie Boone;
91;US;88;18.0;California;Virginie Boone;
92;US;88;55.0;California;Virginie Boone;
93;Austria;88;12.0;Burgenland;Anne Krebiehl MW;
94;US;88;22.0;Washington;Sean P. Sullivan;
95;France;88;20.0;Beaujolais;Roger Voss;
96;France;88;18.0;Beaujolais;Roger Voss;
97;US;88;20.0;New York;Anna Lee C. Iijima;
98;Italy;88;30.0;Tuscany;Kerin O’Keefe;
99;US;88;75.0;California;Virginie Boone;
100;US;88;18.0;New York;Anna Lee C. Iijima;
101;US;87;20.0;New York;Anna Lee C. Iijima;
102;US;87;20.0;New York;Anna Lee C. Iijima;
103;Chile;87;18.0;Leyda Valley;Michael Schachner;
104;Italy;87;16.0;Tuscany;Kerin O’Keefe;
105;Italy;87;14.0;Tuscany;Kerin O’Keefe;
106;Italy;87;30.0;Tuscany;Kerin O’Keefe;
107;Italy;87;18.0;Tuscany;Kerin O’Keefe;
108;US;87;26.0;California;Matt Kettmann;
109;Italy;87;30.0;Tuscany;Kerin O’Keefe;
110;France;87;23.0;Beaujolais;Roger Voss;
111;US;87;85.0;California;Virginie Boone;
112;Italy;87;15.0;Tuscany;Kerin O’Keefe;
113;Italy;87;19.0;Tuscany;Kerin O’Keefe;
114;US;87;18.0;California;Matt Kettmann;
115;US;87;18.0;California;Matt Kettmann;
116;US;87;25.0;California;Matt Kettmann;
117;US;87;44.0;California;Matt Kettmann;
118;Italy;87;80.0;Tuscany;Kerin O’Keefe;
119;France;92;80.0;Alsace;;
120;Italy;92;70.0;Piedmont;;
121;US;92;36.0;California;;
122;US;92;39.0;California;;
123;Australia;92;40.0;South Australia;Joe Czerwinski;
124;US;92;45.0;California;;
125;South Africa;91;45.0;Stellenbosch;Roger Voss;
126;France;91;48.0;Alsace;;
127;France;91;13.0;Alsace;;
128;France;91;17.0;Alsace;;
129;South Africa;91;25.0;Stellenbosch;;
130;Italy;91;70.0;Piedmont;;
131;France;91;20.0;Alsace;;
132;South Africa;91;30.0;Simonsberg-Stellenbosch;Roger Voss;
133;Italy;91;68.0;Piedmont;;
134;US;91;78.0;California;;
135;Italy;91;60.0;Piedmont;;
136;France;91;50.0;Bordeaux;Joe Czerwinski;
138;France;90;10.0;Alsace;;
139;France;90;112.0;Alsace;;
140;Italy;90;26.0;Piedmont;;
141;Italy;90;45.0;Piedmont;;
142;US;90;17.0;California;;
143;France;90;84.0;Alsace;;
144;US;91;85.0;California;Virginie Boone;
145;US;91;64.0;California;Matt Kettmann;
146;US;91;68.0;California;Matt Kettmann;
147;US;91;68.0;California;Matt Kettmann;
148;Germany;91;16.0;Rheinhessen;Anna Lee C. Iijima;
149;US;91;35.0;California;Matt Kettmann;
150;US;91;25.0;California;Virginie Boone;
151;Portugal;91;30.0;Alentejano;Roger Voss;
152;US;91;55.0;California;Matt Kettmann;
153;US;91;46.0;California;Matt Kettmann;
154;Spain;91;50.0;Central Spain;Michael Schachner;
155;US;91;36.0;California;Matt Kettmann;
156;Germany;91;14.0;Mosel;Anna Lee C. Iijima;
157;Portugal;91;26.0;Alentejano;Roger Voss;
158;Italy;91;38.0;Tuscany;Kerin O’Keefe;
160;France;91;35.0;Southwest France;Roger Voss;
161;US;91;35.0;California;Matt Kettmann;
162;US;91;28.0;California;Matt Kettmann;
164;Chile;91;29.0;Aconcagua Valley;Michael Schachner;
165;Chile;91;32.0;Maipo Valley;Michael Schachner;
166;France;91;25.0;Southwest France;Roger Voss;
167;US;91;28.0;California;Matt Kettmann;
168;US;91;95.0;California;Virginie Boone;
169;US;91;44.0;California;Virginie Boone;
170;Germany;91;30.0;Mosel;Anna Lee C. Iijima;
171;Germany;91;22.0;Mosel;Anna Lee C. Iijima;
172;Chile;91;20.0;Loncomilla Valley;Michael Schachner;
173;US;91;38.0;Oregon;Paul Gregutt;
174;New Zealand;88;19.0;Marlborough;Joe Czerwinski;
175;Italy;88;25.0;Northeastern Italy;;
176;Chile;88;50.0;Maipo Valley;Michael Schachner;
177;Italy;88;22.0;Tuscany;;
178;US;88;25.0;California;;
179;France;88;27.0;Burgundy;Roger Voss;
180;US;88;23.0;California;;
181;US;88;36.0;California;;
183;Argentina;88;12.0;Other;Michael Schachner;
184;US;88;35.0;California;;
185;Chile;88;15.0;Colchagua Valley;Michael Schachner;
186;US;88;40.0;California;;
187;Italy;88;48.0;Sicily & Sardinia;;
188;Chile;88;11.0;Colchagua Valley;Michael Schachner;
189;Chile;87;11.0;Casablanca Valley;Michael Schachner;
190;Italy;87;26.0;Southern Italy;;
191;Australia;87;30.0;South Australia;Joe Czerwinski;
192;Italy;87;20.0;Veneto;;
193;France;87;35.0;Burgundy;Roger Voss;
195;Italy;87;35.0;Tuscany;;
196;Italy;87;18.0;Tuscany;;
197;South Africa;90;23.0;Western Cape;Lauren Buzzeo;
198;US;90;60.0;California;Virginie Boone;
199;US;90;28.0;California;Jim Gordon;
201;Italy;90;62.0;Northeastern Italy;Kerin O’Keefe;
202;Israel;90;50.0;Judean Hills;Mike DeSimone;
203;Portugal;90;28.0;Alentejo;Roger Voss;
204;US;90;30.0;California;Matt Kettmann;
205;US;90;25.0;California;Matt Kettmann;
206;US;90;25.0;California;Virginie Boone;
207;US;90;32.0;California;Virginie Boone;
208;South Africa;90;40.0;Coastal Region;Lauren Buzzeo;
209;France;90;16.0;Rhône Valley;Joe Czerwinski;
210;South Africa;90;20.0;Western Cape;Lauren Buzzeo;
211;France;90;32.0;Rhône Valley;Joe Czerwinski;
212;Spain;90;40.0;Northern Spain;Michael Schachner;
213;US;90;48.0;California;Matt Kettmann;
214;US;90;36.0;California;Virginie Boone;
215;Israel;90;80.0;Galilee;Mike DeSimone;
216;Italy;90;57.0;Tuscany;Kerin O’Keefe;
217;Portugal;90;20.0;Beira Atlantico;Roger Voss;
218;US;90;20.0;California;Virginie Boone;
219;Hungary;90;36.0;Tokaj;Jeff Jenssen;
220;US;90;40.0;California;Virginie Boone;
221;Italy;90;40.0;Northeastern Italy;Kerin O’Keefe;
224;Argentina;90;22.0;Mendoza Province;Michael Schachner;
225;South Africa;90;25.0;Stellenbosch;Lauren Buzzeo;
226;South Africa;90;20.0;Stellenbosch;Lauren Buzzeo;
227;US;85;15.0;New York;;
228;US;85;14.0;New York;;
229;US;85;18.0;California;;
230;US;85;16.0;New York;Susan Kostrzewa;
231;Argentina;85;10.0;Mendoza Province;Michael Schachner;
232;Australia;85;12.0;South Australia;;
233;US;85;28.0;Oregon;Paul Gregutt;
234;Italy;85;10.0;Central Italy;;
235;US;85;49.0;California;;
236;US;85;85.0;California;;
237;Italy;85;18.0;Central Italy;;
238;Australia;85;29.0;South Australia;Joe Czerwinski;
239;US;85;36.0;California;;
240;France;85;9.0;Southwest France;Roger Voss;
241;US;85;34.0;California;;
242;US;85;15.0;California;;
243;US;85;30.0;New York;;
244;Spain;85;13.0;Northern Spain;Michael Schachner;
245;Argentina;85;12.0;Other;Michael Schachner;
246;Australia;85;15.0;South Australia;;
247;US;85;25.0;California;;
248;US;85;45.0;Oregon;Paul Gregutt;
249;US;85;18.0;Virginia;;
250;US;85;49.0;California;;
251;US;85;22.0;Oregon;Paul Gregutt;
252;US;85;35.0;California;;
253;Argentina;85;15.0;Mendoza Province;Michael Schachner;
254;US;89;45.0;California;;
255;US;89;55.0;California;Virginie Boone;
256;South Africa;89;20.0;Coastal Region;Lauren Buzzeo;
257;South Africa;89;18.0;Coastal Region;Lauren Buzzeo;
258;South Africa;89;35.0;Stellenbosch;Lauren Buzzeo;
259;France;89;13.0;Southwest France;Roger Voss;
260;US;89;40.0;Oregon;Paul Gregutt;
261;Argentina;89;37.0;Mendoza Province;Michael Schachner;
262;US;89;39.0;California;Virginie Boone;
263;US;89;60.0;California;;
264;South Africa;89;19.0;Stellenbosch;Lauren Buzzeo;
265;South Africa;89;40.0;Stellenbosch;Lauren Buzzeo;
266;Argentina;89;14.0;Mendoza Province;Michael Schachner;
267;Italy;89;40.0;Central Italy;;
268;Italy;89;36.0;Veneto;;
269;Austria;89;17.0;Leithaberg;Roger Voss;
270;Italy;89;25.0;Northeastern Italy;;
271;Greece;89;15.0;Santorini;Susan Kostrzewa;
272;Italy;89;26.0;Northeastern Italy;;
273;Argentina;89;19.0;Mendoza Province;Michael Schachner;
274;Italy;89;13.0;Piedmont;;
275;Argentina;89;30.0;Mendoza Province;Michael Schachner;
276;US;89;20.0;California;;
277;US;89;30.0;California;;
278;US;89;50.0;Oregon;Paul Gregutt;
279;Italy;89;52.0;Northeastern Italy;;
280;Austria;92;24.0;Kremstal;Roger Voss;
281;US;92;34.0;California;;
282;Italy;92;41.0;Tuscany;Kerin O’Keefe;
283;US;92;52.0;Oregon;Paul Gregutt;
284;Argentina;92;215.0;Mendoza Province;Michael Schachner;
286;US;92;60.0;California;;
287;Spain;92;40.0;Catalonia;Michael Schachner;
289;US;92;125.0;California;;
292;France;92;45.0;France Other;Roger Voss;
293;Australia;92;70.0;South Australia;Joe Czerwinski;
294;Argentina;92;30.0;Mendoza Province;Michael Schachner;
295;US;87;35.0;California;;
296;Chile;87;20.0;Maipo Valley;Michael Schachner;
297;US;87;15.0;California;;
298;Chile;87;19.0;Aconcagua Valley;Michael Schachner;
300;US;87;28.0;California;;
301;US;87;14.0;Washington;Paul Gregutt;
303;Italy;87;56.0;Piedmont;;
305;US;87;24.0;California;Virginie Boone;
306;Romania;87;7.0;Recas;Anna Lee C. Iijima;
307;France;87;30.0;Burgundy;Roger Voss;
308;Greece;87;18.0;Santorini;Susan Kostrzewa;
309;Italy;87;20.0;Piedmont;;
310;Italy;87;18.0;Piedmont;;
311;New Zealand;87;18.0;Hawke's Bay;Joe Czerwinski;
312;US;87;40.0;California;;
314;US;87;28.0;California;;
315;Italy;86;15.0;Veneto;;
318;Chile;86;18.0;Curicó Valley;Michael Schachner;
319;Italy;86;20.0;Veneto;;
320;Italy;86;22.0;Veneto;;
321;Italy;86;16.0;Veneto;;
322;Italy;86;18.0;Veneto;;
323;Chile;86;35.0;Colchagua Valley;Michael Schachner;
324;Italy;86;12.0;Veneto;;
325;US;86;11.0;New York;Susan Kostrzewa;
326;Italy;86;15.0;Veneto;;
327;Chile;86;18.0;Limarí Valley;Michael Schachner;
328;US;86;16.0;California;;
329;US;86;34.0;California;;
330;US;86;40.0;California;;
331;Chile;86;15.0;Casablanca Valley;Michael Schachner;
332;Italy;86;19.0;Veneto;;
333;Italy;86;18.0;Veneto;;
334;France;86;42.0;Champagne;Roger Voss;
335;Italy;86;15.0;Veneto;;
336;Chile;83;35.0;Colchagua Costa;Michael Schachner;
337;France;83;16.0;Languedoc-Roussillon;Lauren Buzzeo;
338;France;82;11.0;Provence;Roger Voss;
339;Spain;82;13.0;Catalonia;Michael Schachner;
340;France;82;18.0;Alsace;Anne Krebiehl MW;
341;US;82;48.0;California;Virginie Boone;
342;Spain;82;11.0;Catalonia;Michael Schachner;
343;Chile;81;20.0;Rapel Valley;Michael Schachner;
344;Chile;80;19.0;Leyda Valley;Michael Schachner;
345;Australia;100;350.0;Victoria;Joe Czerwinski;
346;Australia;98;350.0;Victoria;Joe Czerwinski;
347;Germany;97;775.0;Rheingau;Anna Lee C. Iijima;
348;Australia;97;100.0;Victoria;Joe Czerwinski;
349;Australia;97;225.0;South Australia;Joe Czerwinski;
350;Italy;97;150.0;Piedmont;Kerin O’Keefe;
351;Hungary;96;320.0;Tokaji;Jeff Jenssen;
352;US;96;68.0;California;Virginie Boone;
353;France;96;630.0;Burgundy;Roger Voss;
354;Germany;96;365.0;Rheingau;Anna Lee C. Iijima;
355;US;96;68.0;California;Virginie Boone;
356;Australia;95;85.0;Victoria;Joe Czerwinski;
357;France;95;350.0;Burgundy;Roger Voss;
358;Germany;95;66.0;Rheingau;Anna Lee C. Iijima;
359;France;95;110.0;Burgundy;Roger Voss;
360;Australia;95;125.0;South Australia;Joe Czerwinski;
361;Italy;95;60.0;Piedmont;Kerin O’Keefe;
362;US;95;200.0;California;Virginie Boone;
363;France;95;380.0;Burgundy;Roger Voss;
364;US;95;48.0;Oregon;Paul Gregutt;
365;Australia;95;60.0;South Australia;Joe Czerwinski;
366;Italy;88;21.0;Northeastern Italy;Joe Czerwinski;
367;Chile;88;10.0;Maipo Valley;Michael Schachner;
368;Italy;88;11.0;Veneto;Joe Czerwinski;
369;Italy;88;21.0;Northeastern Italy;Joe Czerwinski;
370;US;88;160.0;California;;
371;Italy;88;23.0;Northeastern Italy;Roger Voss;
372;Italy;88;10.0;Veneto;Roger Voss;
373;Italy;88;15.0;Northeastern Italy;Roger Voss;
374;US;88;19.0;California;;
375;Italy;88;40.0;Tuscany;;
376;Italy;88;18.0;Northeastern Italy;Roger Voss;
378;Mexico;88;18.0;Valle de Guadalupe;;
379;Italy;88;15.0;Northeastern Italy;Joe Czerwinski;
380;Chile;88;12.0;Rapel Valley;Michael Schachner;
382;Chile;88;15.0;Maipo Valley;Michael Schachner;
383;Italy;88;9.0;Veneto;Joe Czerwinski;
384;Italy;88;30.0;Northeastern Italy;Roger Voss;
385;US;88;18.0;California;;
386;US;88;34.0;California;;
387;US;88;17.0;California;;
388;US;88;25.0;California;Roger Voss;
389;Italy;88;15.0;Northeastern Italy;Joe Czerwinski;
390;Chile;88;12.0;Maipo Valley;Michael Schachner;
391;Chile;88;14.0;Central Valley;Michael Schachner;
392;US;87;12.0;California;;
393;Chile;87;11.0;Lontué Valley;Michael Schachner;
394;Chile;87;12.0;Maipo Valley;Michael Schachner;
396;US;85;16.0;California;;
397;Chile;85;15.0;Colchagua Valley;Michael Schachner;
398;Chile;85;13.0;Curicó Valley;Michael Schachner;
399;Italy;85;24.0;Veneto;;
400;Italy;85;13.0;Italy Other;;
401;Italy;85;19.0;Veneto;;
402;Chile;85;11.0;Colchagua Valley;Michael Schachner;
403;US;85;15.0;California;;
404;US;85;45.0;California;;
405;Italy;85;19.0;Veneto;;
406;France;85;30.0;Champagne;Roger Voss;
407;Chile;85;14.0;Casablanca Valley;Michael Schachner;
408;Italy;85;15.0;Veneto;;
409;US;85;20.0;New York;Susan Kostrzewa;
410;US;85;20.0;New York;Susan Kostrzewa;
411;US;85;12.0;California;;
412;Italy;85;20.0;Veneto;;
413;Italy;85;13.0;Veneto;;
414;Italy;85;16.0;Veneto;;
415;US;85;14.0;New York;Susan Kostrzewa;
416;Italy;85;14.0;Veneto;;
419;France;89;20.0;Bordeaux;Roger Voss;
421;US;89;30.0;Washington;Sean P. Sullivan;
422;US;89;20.0;Washington;Sean P. Sullivan;
423;Austria;89;23.0;Weinviertel;Anne Krebiehl MW;
424;US;89;30.0;California;Jim Gordon;
425;US;89;18.0;New York;Anna Lee C. Iijima;
426;Spain;89;18.0;Northern Spain;Michael Schachner;
427;US;89;35.0;New York;Anna Lee C. Iijima;
428;Austria;89;17.0;Kremstal;Anne Krebiehl MW;
429;US;89;42.0;Washington;Sean P. Sullivan;
430;US;89;30.0;California;Matt Kettmann;
431;US;89;24.0;California;Matt Kettmann;
432;US;89;16.0;Washington;Sean P. Sullivan;
433;US;89;27.0;California;Jim Gordon;
434;Italy;89;89.0;Piedmont;Kerin O’Keefe;
436;Italy;89;15.0;Piedmont;Kerin O’Keefe;
437;US;89;54.0;California;Virginie Boone;
438;Spain;89;15.0;Northern Spain;Michael Schachner;
439;Spain;89;42.0;Northern Spain;Michael Schachner;
440;US;89;38.0;Washington;Sean P. Sullivan;
441;Austria;89;12.0;Niederösterreich;Anne Krebiehl MW;
442;US;89;35.0;New York;Anna Lee C. Iijima;
443;US;88;32.0;California;Virginie Boone;
444;Austria;88;12.0;Wagram;Anne Krebiehl MW;
445;Italy;88;28.0;Sicily & Sardinia;Kerin O’Keefe;
446;US;88;20.0;California;Matt Kettmann;
447;France;88;14.0;Loire Valley;Roger Voss;
448;France;88;19.0;Rhône Valley;Joe Czerwinski;
449;Italy;92;39.0;Lombardy;Kerin O’Keefe;
451;Italy;92;35.0;Tuscany;Kerin O’Keefe;
453;France;92;69.0;Champagne;Roger Voss;
454;Canada;92;30.0;Ontario;Sean P. Sullivan;
455;US;92;40.0;California;;
456;US;92;23.0;California;Virginie Boone;
457;US;92;45.0;California;;
458;Italy;92;50.0;Lombardy;Kerin O’Keefe;
459;France;92;100.0;Champagne;Roger Voss;
460;US;92;50.0;Oregon;Paul Gregutt;
461;US;92;29.0;Oregon;Paul Gregutt;
462;France;92;66.0;Burgundy;Roger Voss;
463;France;92;60.0;Champagne;Roger Voss;
464;Germany;92;115.0;Rheinhessen;Anna Lee C. Iijima;
465;Italy;92;69.0;Veneto;Kerin O’Keefe;
467;US;92;65.0;Oregon;Paul Gregutt;
468;Germany;92;42.0;Mosel;Anna Lee C. Iijima;
469;Germany;92;27.0;Mosel;Anna Lee C. Iijima;
470;France;92;70.0;Champagne;Roger Voss;
471;France;92;73.0;Burgundy;Roger Voss;
472;France;92;72.0;Burgundy;Roger Voss;
473;Portugal;92;34.0;Alentejano;Roger Voss;
475;US;92;130.0;California;;
476;US;92;88.0;California;;
477;France;92;65.0;Bordeaux;Roger Voss;
479;Italy;87;15.0;Sicily & Sardinia;;
480;US;87;45.0;Washington;Paul Gregutt;
481;Italy;87;18.0;Sicily & Sardinia;;
482;US;87;60.0;California;;
483;South Africa;87;12.0;Stellenbosch;Lauren Buzzeo;
484;South Africa;87;12.0;Western Cape;Lauren Buzzeo;
485;France;87;13.0;Rhône Valley;Joe Czerwinski;
486;US;87;13.0;California;;
487;Italy;87;15.0;Northeastern Italy;;
488;Italy;87;18.0;Northeastern Italy;;
489;Italy;87;13.0;Northeastern Italy;;
490;Spain;87;19.0;Catalonia;Michael Schachner; Cellars
491;Austria;87;18.0;Kremstal;Roger Voss;
492;US;87;30.0;Washington;Paul Gregutt;
493;US;87;35.0;Washington;Paul Gregutt;
494;US;87;12.0;New York;Anna Lee C. Iijima;
495;US;87;18.0;California;Virginie Boone;
496;Spain;87;25.0;Northern Spain;Michael Schachner;
497;US;87;30.0;California;Virginie Boone;
498;US;87;17.0;California;;
499;France;87;20.0;Provence;Roger Voss;
500;Spain;87;11.0;Northern Spain;Michael Schachner;
501;US;87;15.0;California;Virginie Boone;
502;Austria;87;18.0;Österreichischer Sekt;Roger Voss;
503;US;87;19.0;California;;
504;France;87;15.0;Rhône Valley;Joe Czerwinski;
505;Spain;87;16.0;Northern Spain;Michael Schachner;
506;Italy;87;12.0;Northeastern Italy;;
507;US;87;28.0;Washington;Paul Gregutt;
508;US;87;28.0;Washington;Paul Gregutt;
509;US;91;65.0;California;Virginie Boone;
510;US;91;48.0;California;Matt Kettmann;
511;France;91;70.0;Champagne;Roger Voss;
512;France;91;59.0;Champagne;Roger Voss;
513;US;91;90.0;California;Virginie Boone;
514;Chile;91;35.0;Colchagua Valley;Michael Schachner;
515;US;91;75.0;California;Virginie Boone;
516;US;91;55.0;California;Virginie Boone;
517;US;91;55.0;California;Virginie Boone;
518;France;91;60.0;Burgundy;Roger Voss;
519;US;91;36.0;California;Jim Gordon;
520;US;91;35.0;California;Matt Kettmann;
521;US;91;35.0;California;Matt Kettmann;
522;US;91;55.0;Oregon;Paul Gregutt;
523;US;91;65.0;Oregon;Paul Gregutt;
524;US;91;35.0;Washington;Sean P. Sullivan;
525;US;91;49.0;California;Matt Kettmann;
526;US;91;55.0;Oregon;Paul Gregutt;
527;Germany;91;30.0;Rheinhessen;Anna Lee C. Iijima;
528;France;91;42.0;Champagne;Roger Voss;
529;US;91;45.0;California;Virginie Boone;
530;Chile;91;24.0;Colchagua Valley;Michael Schachner;
531;US;91;50.0;Oregon;Paul Gregutt;
532;US;91;50.0;Oregon;Paul Gregutt;
533;US;91;50.0;Oregon;Paul Gregutt;
534;US;91;38.0;California;Matt Kettmann;
535;Germany;91;22.0;Mosel;Anna Lee C. Iijima;
536;US;91;50.0;Washington;Sean P. Sullivan;
537;US;91;110.0;California;Virginie Boone;
538;US;91;45.0;Oregon;Paul Gregutt;
539;US;93;42.0;California;Matt Kettmann;
540;US;93;60.0;California;Matt Kettmann;
541;US;93;42.0;California;Matt Kettmann;
542;Italy;93;30.0;Northeastern Italy;Kerin O’Keefe;
543;US;93;75.0;California;Virginie Boone;
544;US;93;54.0;California;Matt Kettmann;
545;US;93;85.0;California;Virginie Boone;
546;US;93;50.0;California;Virginie Boone;
547;US;93;150.0;California;Matt Kettmann;
548;US;93;85.0;California;Virginie Boone;
549;Italy;93;90.0;Piedmont;Kerin O’Keefe;
550;US;93;35.0;California;Virginie Boone;
551;US;93;46.0;California;Virginie Boone;
552;France;93;20.0;Provence;Roger Voss;
553;Argentina;93;42.0;Mendoza Province;Michael Schachner;
554;France;93;40.0;Provence;Roger Voss;
555;US;93;75.0;Washington;Sean P. Sullivan;
556;Spain;93;88.0;Northern Spain;Michael Schachner;
557;US;93;40.0;California;Matt Kettmann;
558;US;93;25.0;California;Jim Gordon;
559;US;93;48.0;California;Virginie Boone;
560;US;93;45.0;California;Virginie Boone;
561;US;93;50.0;California;Jim Gordon;
562;US;93;65.0;California;Virginie Boone;
563;US;93;48.0;California;Matt Kettmann;
564;US;93;62.0;California;Matt Kettmann;
565;US;93;100.0;California;Matt Kettmann;
566;US;93;53.0;California;Virginie Boone;
567;Argentina;93;55.0;Mendoza Province;Michael Schachner;
568;US;93;70.0;California;Virginie Boone;
569;US;89;38.0;Washington;Sean P. Sullivan;
570;US;89;50.0;Washington;Sean P. Sullivan;
571;US;89;25.0;California;Jim Gordon;
572;Italy;89;15.0;Piedmont;Kerin O’Keefe;
573;France;89;14.0;Bordeaux;Roger Voss;
574;France;89;11.0;Rhône Valley;Joe Czerwinski;
575;France;89;14.0;Bordeaux;Roger Voss;
576;France;89;37.0;Bordeaux;Roger Voss;
577;US;89;17.0;New York;Anna Lee C. Iijima;
578;France;89;15.0;Bordeaux;Roger Voss;
579;US;89;13.0;California;Jim Gordon;
580;US;89;18.0;Washington;Sean P. Sullivan;
581;US;89;26.0;Washington;Sean P. Sullivan;
582;US;89;18.0;Washington;Sean P. Sullivan;
583;US;89;32.0;California;Matt Kettmann;
584;Austria;89;18.0;Kamptal;Anne Krebiehl MW;
585;US;89;25.0;Washington;Sean P. Sullivan;
586;Austria;89;18.0;Steiermark;Anne Krebiehl MW;
587;Austria;89;20.0;Südsteiermark;Anne Krebiehl MW;
588;US;89;18.0;California;Jim Gordon;
590;US;89;17.0;California;Matt Kettmann;
591;Austria;89;13.0;Niederösterreich;Anne Krebiehl MW;
592;US;89;41.0;Washington;Sean P. Sullivan;
593;Austria;89;16.0;Niederösterreich;Anne Krebiehl MW;
594;France;89;20.0;Rhône Valley;Joe Czerwinski;
595;US;89;30.0;Washington;Sean P. Sullivan;
596;Greece;89;13.0;Crete;Susan Kostrzewa;
597;Austria;89;24.0;Kremstal;Anne Krebiehl MW;
598;US;89;36.0;California;Matt Kettmann;
599;US;87;20.0;California;;
600;Italy;87;19.0;Piedmont;;
601;Mexico;87;15.0;Valle de Guadalupe;Michael Schachner;
602;US;87;69.0;California;;
603;US;87;36.0;New York;Anna Lee C. Iijima;
604;Spain;87;35.0;Northern Spain;Michael Schachner;
605;Argentina;87;30.0;Mendoza Province;Michael Schachner;
606;US;87;25.0;Oregon;Sean P. Sullivan;
607;US;87;25.0;Oregon;Sean P. Sullivan;
608;Portugal;87;15.0;Douro;Roger Voss;
609;US;87;20.0;Oregon;Paul Gregutt;
610;US;87;17.0;California;;
611;US;87;54.0;California;;
612;US;87;40.0;California;;
613;Portugal;87;12.0;Vinho Verde;Roger Voss;
614;Italy;87;19.0;Veneto;;
615;Argentina;87;11.0;Mendoza Province;Michael Schachner;
616;US;87;45.0;California;;
617;Italy;87;25.0;Veneto;;
618;US;87;35.0;California;;
619;Italy;87;16.0;Piedmont;;
620;Italy;87;20.0;Veneto;;
621;US;87;28.0;California;;
622;US;87;25.0;Idaho;Sean P. Sullivan;
623;US;87;28.0;Idaho;Sean P. Sullivan;
624;US;87;20.0;Idaho;Sean P. Sullivan;
625;Italy;87;15.0;Veneto;;
626;Italy;87;23.0;Veneto;;
